year,hires,terminations,net_change,net_change_percent
2000,211,26,185,87.6777
2001,1082,197,885,81.7930
2002,1012,162,850,83.9921
2003,1088,198,890,81.8015
2004,1087,206,881,81.0488
2005,1038,195,843,81.2139
2006,1069,193,876,81.9457
2007,1058,157,901,85.1607
2008,1061,150,911,85.8624
2009,1094,158,936,85.5576
2010,1050,142,908,86.4762
2011,1057,123,934,88.3633
2012,1059,122,937,88.4797
2013,1042,105,937,89.9232
2014,1014,97,917,90.4339
2015,1011,97,914,90.4055
2016,1076,82,994,92.3792
2017,1043,67,976,93.5762
2018,1090,60,1030,94.4954
2019,1038,60,978,94.2197
2020,967,42,925,95.6567
